gene,DFB_A,DFB_B,Fe_A,Fe_B
Ga0401699_2511042_3_191_glycolate oxidase iron-sulfur subunit,0,0,0,0
Ga0401699_2511804_1_594_COG1069 Ribulose kinase,1.817120593,0,0,1.032280115
Ga0401699_2513230_1_576_HpcH/HpaI aldolase/citrate lyase family,0,0,0,0
Ga0401699_2515157_2_577_Hydroxymethylglutaryl-coenzyme A reductase,0,1.12624788,2.620741394,1.032280115
Ga0401699_2527155_81_590_of components of various dehydrogenase complexes,0.908560296,0,0.873580465,2.064560231
Ga0401699_2533536_3_548_ketoglutarate semialdehyde dehydrogenase,0,0,3.494321859,0
Ga0401699_2568613_1_366_CoA-transferase,0,0,1.747160929,0
Ga0401699_2572203_54_584_Radical SAM N-terminal,4.542801482,2.252495761,3.494321859,2.064560231
Ga0401699_2575726_3_584_ferredoxin MJ0251-putative Fe-S containing oxidoreductase,1.817120593,1.12624788,0.873580465,0
Ga0401699_2580108_31_585_ribulose bisphosphate carboxylase_ small,0,3.378743641,13.10370697,2.064560231
Ga0401699_2585243_3_440_galactose-1-phosphate uridylyltransferase,0,1.12624788,0,2.064560231
Ga0401699_2588374_3_320_2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,0,2.252495761,0,0
Ga0401699_2590220_148_582_Cbs domain,3.634241186,0,1.747160929,1.032280115
Ga0401699_2594203_42_584_Aldehyde ferredoxin oxidoreductase,0,0,0,2.064560231
Ga0401699_2595026_31_561_Conserved region in glutamate synthase,0,0,0,1.032280115
Ga0401699_2598185_1_582_fumarate reductase cytochrome b subunit_ b558 family,1.817120593,0,0.873580465,0
Ga0401699_2600153_1_576_COGs COG0022 Pyruvate 2-oxoglutarate dehydrogenase complex dehydrogenase E1 component eukaryotic type beta subunit,0,0,2.620741394,1.032280115
Ga0401699_2612391_30_506_Psort location Periplasmic_ score,0,0,0,0
Ga0401699_2612788_3_581_dehydrogenase and related dehydrogenases,0.908560296,1.12624788,2.620741394,2.064560231
Ga0401699_0085733_1481_1945_peptide methionine sulfoxide reductase,29.07392949,37.16618005,11.35654604,14.45192162
Ga0401699_2634744_3_578_NADP transhydrogenase subunit alpha,0.908560296,0,0,0
Ga0401699_2637901_71_577_COGs COG2084 3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenase,0,2.252495761,5.241482788,2.064560231
Ga0401699_2647366_1_576_Ubiquinone biosynthesis hydroxylase_ UbiH UbiF VisC COQ6 family,1.817120593,0,0.873580465,1.032280115
Ga0401699_2648186_2_577_radical SAM protein YgiQ,0.908560296,0,0,0
Ga0401699_2651076_155_577_Cytochrome bd terminal oxidase subunit II,0,6.757487283,0,0
Ga0401699_2653998_212_565_Thiamine pyrophosphate enzyme_ N-terminal TPP binding domain,0,1.12624788,0,0
Ga0401699_2677420_233_550_Zinc-binding dehydrogenase family protein 6,0,0,0,3.096840346
Ga0401699_2692056_16_570_2-oxoglutarate dehydrogenase complex_ dehydrogenase E1 component_ and related enzymes,9.994163261,21.39870973,13.10370697,7.225960808
Ga0401699_2694303_183_572_Putative NADP-binding,3.634241186,1.12624788,0,0
Ga0401699_2698196_2_271_COGs COG1778 Low specificity phosphatase HAD superfamily,0,0,1.747160929,0
Ga0401699_2717110_3_569_COGs COG0674 Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductase alpha subunit,0,1.12624788,0,2.064560231
Ga0401699_2725622_1_558_decarboxylase beta subunit,0,2.252495761,2.620741394,0
Ga0401699_2738019_3_332_III protein,0,0,0,1.032280115
Ga0401699_2740283_235_567_Fumarase C-terminus,0.908560296,0,0.873580465,0
Ga0401699_2741434_166_525_ATP synthase alpha/beta family_ nucleotide-binding domain,0,0,0.873580465,2.064560231
Ga0401699_2746478_28_552_Shikimate quinate 5-dehydrogenase family protein,0.908560296,0,1.747160929,1.032280115
Ga0401699_2753929_134_565_Pyruvate carboxyltransferase,2.725680889,3.378743641,0,0
Ga0401699_2755555_2_361_PFAM Extradiol ring-cleavage dioxygenase_ class III enzyme_ subunit B,0,0,0,0
Ga0401699_2755737_1_402_component of pyruvate dehydrogenase complex,0,0,1.747160929,0
Ga0401699_2760073_1_564_Electron transfer flavoprotein subunit alpha,2.725680889,0,13.10370697,2.064560231
Ga0401699_0091542_143_1150_Semialdehyde dehydrogenase_ NAD binding domain,2.725680889,2.252495761,4.367902324,4.129120462
Ga0401699_2766290_1_366_Mannitol dehydrogenase,0.908560296,0,0.873580465,0
Ga0401699_2789185_3_560_hmm pf00724,0.908560296,0,1.747160929,1.032280115
Ga0401699_2792258_1_561_Converts carnitine to trimethylamine and malic semialdehyde. Can also use gamma-butyrobetaine_ choline and betaine as substrates,0,0,1.747160929,0
Ga0401699_0092736_1824_2909_Pyruvate ferredoxin oxidoreductase beta subunit C terminal,0.908560296,1.12624788,3.494321859,1.032280115
Ga0401699_2806182_182_385_PFAM TrkA-N domain,0,0,0,0
Ga0401699_2812070_2_505_Pyridoxamine 5-phosphate oxidase,0,0,0,1.032280115
Ga0401699_2814852_3_557_NADH flavin oxidoreductase NADH oxidase family protein,0,0,0.873580465,0
Ga0401699_2832513_3_524_NADPH-dependent glutamate synthase beta chain and related oxidoreductases,0,1.12624788,0,4.129120462
Ga0401699_2834094_2_556_COG2838 Monomeric isocitrate dehydrogenase,0,1.12624788,0,0
Ga0401699_2838639_234_554_Shikimate dehydrogenase substrate binding,0,0,0,0
Ga0401699_2842383_76_525_Citrate synthase,0,1.12624788,0.873580465,1.032280115
Ga0401699_2853260_1_555_Aminotransferase class-V,0,0,0,1.032280115
Ga0401699_2858056_3_554_PFAM SMP-30 Gluconolaconase,0,5.631239402,1.747160929,0
Ga0401699_2874802_3_551_dihydroorotate dehydrogenase,0,4.504991522,0.873580465,4.129120462
Ga0401699_0096794_259_1563_hydroxypyruvate reductase,15.44552504,7.883735163,1.747160929,10.32280115
Ga0401699_0097041_2488_2865_cytochrome c1,1.817120593,3.378743641,2.620741394,1.032280115
Ga0401699_2924319_1_474_Cytochrome b,0,0,2.620741394,0
Ga0401699_2948622_3_521_PFAM Glyceraldehyde 3-phosphate dehydrogenase_ NADP binding domain,0,0,0,1.032280115
Ga0401699_2950418_34_543_Permease,0,0,0,0
Ga0401699_2956000_3_542_Malate quinone- oxidoreductase,0,1.12624788,0,0
Ga0401699_2960670_288_542_Catalyzes the four-electron oxidation of UDP-N-acetyl-D- mannosamine UDP-ManNAc_ reducing NAD  and releasing UDP-N- acetylmannosaminuronic acid UDP-ManNAcA,0,0,0,0
Ga0401699_2969036_1_543_signal-transduction protein containing cAMP-binding and CBS domains,0,0,1.747160929,0
Ga0401699_2980163_62_535_V-type ATPase 116kDa subunit family,0,0,0,0
Ga0401699_2987909_112_540_Formate dehydrogenase gamma subunit,0,0,3.494321859,1.032280115
Ga0401699_2993608_59_541_PFAM 2Fe-2S binding,0,0,0,0
Ga0401699_3009429_167_532_C COG3474 Cytochrome c2,2.725680889,7.883735163,2.620741394,4.129120462
Ga0401699_3020820_8_436_COG3634 Alkyl hydroperoxide reductase_ large subunit,0,1.12624788,1.747160929,2.064560231
Ga0401699_3024482_1_471_E1 component subunit beta,0,3.378743641,1.747160929,0
Ga0401699_3031221_2_427_sodium ion export across plasma membrane,32.70817067,45.04991522,58.52989114,65.03364727
Ga0401699_3046720_1_534_reductase 4Fe-4S domain,0,4.504991522,0,0
Ga0401699_3068379_221_532_In Salmonella this enzyme is required for ethanolamine catabolism,0,0,4.367902324,0
Ga0401699_3073323_138_512_This b-type cytochrome is tightly associated with the reaction center of photosystem II PSII. PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H2O_ generating O2 and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons_ and an electron transfer chain that converts photonic excitation into a charge separation,0,4.504991522,0,4.129120462
Ga0401699_3082241_11_454_TIGRFAM SagB-type dehydrogenase,0,0,0.873580465,1.032280115
Ga0401699_3083704_3_512_Acyl-CoA dehydrogenase_ N-terminal,0,0,1.747160929,1.032280115
Ga0401699_3084733_2_517_Belongs to the complex I 49 kDa subunit family,0,0,0.873580465,0
Ga0401699_3085629_1_411_TIGRFAM nqrF NADH ubiquinone oxidoreductase_ Na -translocating_ F subunit,0.908560296,0,0,0
Ga0401699_0003143_8648_10174_Component of the dark-operative protochlorophyllide reductase DPOR that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide Pchlide to form chlorophyllide a Chlide. This reaction is light-independent. The NB-protein,0,0,23.58667255,15.48420173
Ga0401699_3096135_3_530_belongs to the iron- containing alcohol dehydrogenase family,0,1.12624788,3.494321859,0
Ga0401699_3107724_2_469_Cytochrome P460,0.908560296,4.504991522,0,0
Ga0401699_3111583_25_528_Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B,1.817120593,0,0,0
Ga0401699_3126041_45_527_catalyzes the formation of pyruvate form malate,0,0,3.494321859,0
Ga0401699_0106159_903_2024_Acetokinase family,0,0,0.873580465,2.064560231
Ga0401699_3134940_1_423_dihydropyrimidine dehydrogenase,6.359922075,12.38872668,10.48296558,20.64560231
Ga0401699_3138447_2_526_Potassium transporter peripheral membrane component,0.908560296,0,0,0
Ga0401699_0106589_2_2110_PFAM dehydrogenase E1 component,2.725680889,1.12624788,8.735804647,11.35508127
Ga0401699_0106954_75_1181_Alpha beta hydrolase,5.451361778,9.009983044,4.367902324,6.193680693
Ga0401699_3171479_282_524_Pyruvate 2-oxoglutarate dehydrogenase complex dihydrolipoamide acyltransferase E2 component and related enzymes,0,0,0,2.064560231
Ga0401699_3222034_1_519_COGs COG0569 K transport systems NAD-binding component,0,0,0,0
Ga0401699_3233061_3_491_deca-heme c-type cytochrome,0,0,0,0
Ga0401699_3234713_2_205_Lactate dehydrogenase,0,0,0,0
Ga0401699_3239255_1_519_COG0246 Mannitol-1-phosphate altronate dehydrogenases,0,0,0,0
Ga0401699_0003279_2715_3560_Taurine catabolism dioxygenase TauD_ TfdA family,3.634241186,6.757487283,2.620741394,7.225960808
Ga0401699_3247742_3_389_PFAM Cytochrome bN-terminal b6 petB,2.725680889,0,0,0
Ga0401699_0111029_971_2470_C COG1012 NAD-dependent aldehyde dehydrogenases,2.725680889,6.757487283,6.115063253,1.032280115
Ga0401699_3259830_1_516_Belongs to the ribulokinase family,0,0,0,1.032280115
Ga0401699_0112175_504_1901_Cytochrome bd terminal oxidase subunit I,0,4.504991522,3.494321859,2.064560231
Ga0401699_0112175_1905_2693_subunit II,0,1.12624788,2.620741394,0
Ga0401699_3281595_2_514_NADH flavin oxidoreductase NADH oxidase family,1.817120593,1.12624788,0,0
Ga0401699_0112493_34_2328_Xanthine dehydrogenase_ molybdopterin binding subunit,94.49027083,119.3822753,60.27705207,66.06592739
Ga0401699_0003320_3127_4869_V-type ATP synthase_ subunit I,60.87353986,41.67117158,64.64495439,42.32348473
Ga0401699_0003320_8600_9268_Protein of unknown function DUF2764,8.177042668,7.883735163,20.09235069,10.32280115
Ga0401699_3290933_121_513_Pfam Iron-containing alcohol dehydrogenase,0,0,0.873580465,0
Ga0401699_3303262_2_511_epimerase dehydratase,0,1.12624788,0,0
Ga0401699_3321521_3_512_fumarate reductase iron-sulfur protein,1.817120593,0,0,0
Ga0401699_3385786_2_421_TIGRFAM methylmalonate-semialdehyde dehydrogenase,0,0,0.873580465,0
Ga0401699_0117505_1874_2143_quinone binding,0,0,0,0
Ga0401699_3416765_1_504_cytochrome c oxidase subunit II,1.817120593,1.12624788,0,0
Ga0401699_3417667_108_485_acylphosphatase activity,0,0,0,0
Ga0401699_3424525_1_402_COGs COG1845 Heme copper-type cytochrome quinol oxidase subunit 3,0.908560296,2.252495761,1.747160929,7.225960808
Ga0401699_3451557_3_476_NADPH quinone reductase and related Zn-dependent,0,0,0,0
Ga0401699_0120070_133_372_Lyase and sodium transporter,0,0,0,1.032280115
Ga0401699_0120070_2201_2617_PFAM Na transporting methylmalonyl-CoA oxaloacetate decarboxylase_ beta subunit,0,1.12624788,0,3.096840346
Ga0401699_3471264_1_429_COG0526_ thiol-disulfide isomerase and thioredoxins,0,2.252495761,0,0
Ga0401699_0122617_1528_2472_Fumarate hydratase Fumerase,15.44552504,14.64122245,6.988643718,15.48420173
Ga0401699_0125679_930_2234_Domain of unknown function DUF4147,11.81128385,6.757487283,3.494321859,1.032280115
Ga0401699_0000251_7380_8774_PFAM FAD binding domain_ FAD linked oxidases_ C-terminal domain,1.817120593,4.504991522,9.609385112,6.193680693
Ga0401699_0127453_1155_2141_KamA family protein HI_0329 of Gammaproteobacteria UniRef RepID Y329_HAEIN,2.725680889,6.757487283,13.97728744,11.35508127
Ga0401699_0138596_344_1513_PFAM FMN-dependent,9.994163261,11.2624788,5.241482788,14.45192162
Ga0401699_0139842_571_957_COGs COG0229 Conserved domain frequently associated with peptide methionine sulfoxide reductase,4.542801482,2.252495761,5.241482788,5.161400577
Ga0401699_0143392_1722_2420_Catalyzes the transfer of a formyl group from 5-formyl tetrahydromethanopterin 5-formyl-H4MPT to methanofuran MFR so as to produce formylmethanofuran formyl-MFR and tetrahydromethanopterin H4MPT,1.817120593,4.504991522,5.241482788,5.161400577
Ga0401699_0151856_3_296_TIGRFAM acetoacetyl-CoA reductase,0.908560296,3.378743641,2.620741394,1.032280115
Ga0401699_0158806_1558_2319_fumarate reductase flavoprotein subunit,4.542801482,3.378743641,7.862224183,2.064560231
Ga0401699_0164139_69_944_PFAM molybdopterin dehydrogenase_ FAD-binding,13.62840445,14.64122245,9.609385112,7.225960808
Ga0401699_0176103_29_502_D-isomer specific 2-hydroxyacid dehydrogenase_ NAD binding domain,1.817120593,1.12624788,1.747160929,6.193680693
Ga0401699_0179463_1111_2202_PFAM aldehyde dehydrogenase,134.4669239,96.85731772,93.47310973,76.38872854
Ga0401699_0180002_3_224_2_4-dienoyl-coa reductase,0,0,0.873580465,0
Ga0401699_0183118_954_1940_Quinone oxidoreductase_ YhdH YhfP family,4.542801482,6.757487283,10.48296558,13.4196415
Ga0401699_0187617_443_730_COG4311 Sarcosine oxidase delta subunit,0,0,2.620741394,4.129120462
Ga0401699_0207764_276_788_FMN-binding domain protein,9.085602964,10.13623092,0,0
Ga0401699_0210704_28_624_Fe-S-cluster-containing hydrogenase,0,0,0,2.064560231
Ga0401699_0219355_944_1558_COG2993 Cbb3-type cytochrome oxidase_ cytochrome c subunit,0,0,0,11.35508127
Ga0401699_0228773_51_1580_TIGRFAM Hopanoid biosynthesis associated radical SAM protein HpnJ,4.542801482,1.12624788,7.862224183,3.096840346
Ga0401699_0000383_12054_13037_COG1975 Xanthine and CO dehydrogenases maturation factor_ XdhC CoxF family,9.994163261,11.2624788,6.988643718,2.064560231
Ga0401699_0231906_1472_1972_c reductase,0,0,0,2.064560231
Ga0401699_0238013_625_849_Carboxymuconolactone decarboxylase family,0,0,0,5.161400577
Ga0401699_0241430_1541_1930_Peptide methionine sulfoxide reductase MsrB,0,0,2.620741394,3.096840346
Ga0401699_0246282_1521_1757_ATP synthase_ delta epsilon subunit_ beta-sandwich domain protein,2.725680889,1.12624788,6.115063253,2.064560231
Ga0401699_0259588_1184_1456_Sarcosine oxidase,4.542801482,2.252495761,0.873580465,1.032280115
Ga0401699_0261556_945_1328_Succinate dehydrogenase cytochrome b556 subunit,8.177042668,3.378743641,23.58667255,9.290521039
Ga0401699_0276814_2_379_Short-chain dehydrogenase reductase SDR,0.908560296,1.12624788,0,1.032280115
Ga0401699_0282404_31_1803_Caspase domain,8.177042668,0,0.873580465,4.129120462
Ga0401699_0285691_1009_1758_COG0479 Succinate dehydrogenase fumarate reductase Fe-S protein subunit,0.908560296,1.12624788,0,1.032280115
Ga0401699_0286891_458_784_Catalytic subunit of the ferredoxin-thioredoxin reductase FTR_ which catalyzes the two-electron reduction of thioredoxins by the electrons provided by reduced ferredoxin,0,1.12624788,2.620741394,0
Ga0401699_0290006_1172_1777_Kelch motif,0,3.378743641,0.873580465,2.064560231
Ga0401699_0290563_299_820_PFAM PBS lyase HEAT-like repeat,1.817120593,2.252495761,0,0
Ga0401699_0000454_1_912_Domain of unknown function DUF5122 beta-propeller,7.268482371,13.51497457,16.59802883,16.51648185
Ga0401699_0296417_23_1423_TIGRFAM KamA family protein,4.542801482,31.53494065,8.735804647,9.290521039
Ga0401699_0298725_1_351_Mg-protoporphyrin IX monomethyl ester oxidative cyclase 66kD subunit,0,0,0.873580465,1.032280115
Ga0401699_0007831_7509_7949_COGs COG1143 Formate hydrogenlyase subunit 6 NADH ubiquinone oxidoreductase 23 kD subunit chain I,1.817120593,0,0.873580465,0
Ga0401699_0300233_635_1660_Flavin-dependent oxidoreductase_ F420-dependent methylene-tetrahydromethanopterin reductase,2.725680889,4.504991522,1.747160929,1.032280115
Ga0401699_0305227_72_932_Phytanoyl-CoA dioxygenase,3.634241186,9.009983044,11.35654604,19.61332219
Ga0401699_0316381_287_574_TIGRFAM succinate dehydrogenase_ cytochrome b556 subunit,0.908560296,0,0,0
Ga0401699_0329399_1486_1659_Ferredoxin 2Fe-2S type_ ISC system,0,0,0,0
Ga0401699_0329533_582_1472_F420-dependent oxidoreductase_ MSMEG_3544 family,0.908560296,1.12624788,1.747160929,8.258240924
Ga0401699_0008696_699_938_Pyruvate 2-oxoglutarate dehydrogenase complex_ dihydrolipoamide acyltransferase E2 component,0,1.12624788,2.620741394,1.032280115
Ga0401699_0337760_1082_1663_C-terminal domain of 1-Cys peroxiredoxin,16.35408534,36.03993217,14.8508679,15.48420173
Ga0401699_0346736_455_1642_COG1064 Zn-dependent alcohol dehydrogenases,1.817120593,0,4.367902324,7.225960808
Ga0401699_0009123_4091_4945_PFAM Methylene-tetrahydromethanopterin dehydrogenase_ N-terminal,7.268482371,4.504991522,0.873580465,5.161400577
Ga0401699_0009179_7103_7651_Psort location Cytoplasmic_ score 9.26,0,1.12624788,0,1.032280115
Ga0401699_0354861_2_382_C-type diheme cytochrome_ which is part of the SoxAX cytochrome complex involved in sulfur oxidation. The SoxAX complex catalyzes the formation of a heterodisulfide bond between the conserved cysteine residue on a sulfur carrier SoxYZ complex subunit SoxY and thiosulfate or other inorganic sulfur substrates. This leads to the liberation of two electrons_ which may be transferred from the SoxAX complex to another cytochrome c and which then may be used for reductive CO2 fixation,0,2.252495761,2.620741394,3.096840346
Ga0401699_0358067_2_781_Similarity to COG0437 Fe-S-cluster-containing hydrogenase components 1Evalue,2.725680889,0,2.620741394,4.129120462
Ga0401699_0358451_1_576_PFAM 2-nitropropane dioxygenase NPD,0,4.504991522,0,0
Ga0401699_0360916_1120_1572_2_4-dienoyl-CoA reductase,0,0,0,2.064560231
Ga0401699_0364861_578_1606_TIGRFAM formate dehydrogenase_ alpha subunit_ archaeal-type,1.817120593,13.51497457,7.862224183,5.161400577
Ga0401699_0009590_1736_2017_SMART zinc finger CDGSH-type domain protein,29.07392949,25.90370125,46.29976463,52.64628589
Ga0401699_0000531_16762_18960_related to penicillin acylase,68.14202223,97.9835656,64.64495439,67.0982075
Ga0401699_0377095_2_487_TrkA-N domain protein,0.908560296,0,0,1.032280115
Ga0401699_0385979_1_1005_succinate dehydrogenase flavoprotein,0,3.378743641,13.10370697,2.064560231
Ga0401699_0396698_146_481_In Escherichia coli this enzyme appears to be an NAD NADP -dependent succinate semialdehyde dehydrogenase,2.725680889,4.504991522,2.620741394,7.225960808
Ga0401699_0399764_2_1399_Oxidoreductase_ FAD FMN-binding protein,2.725680889,3.378743641,0,1.032280115
Ga0401699_0400529_252_1208_IQR COG1028 Dehydrogenases with different specificities related to short-chain alcohol dehydrogenases,12.71984415,20.27246185,14.8508679,30.96840346
Ga0401699_0405344_3_218_formaldehyde dehydrogenase,0,0,0,3.096840346
Ga0401699_0010597_4915_5412_NADH-quinone oxidoreductase subunit E,0.908560296,2.252495761,6.115063253,4.129120462
Ga0401699_0407009_21_305_nadP transhydrogenase subunit alpha,0,0,0,0
Ga0401699_0408173_1303_1524_TIGRFAM geranylgeranyl reductase family,0,0,0.873580465,0
Ga0401699_0410728_49_1068_Nitric oxide synthase_ oxygenase domain,4.542801482,0,1.747160929,2.064560231
Ga0401699_0420036_1029_1502_TIGRFAM 2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase,0,1.12624788,0,1.032280115
Ga0401699_0011091_297_644_PFAM ATP synthase I chain,0,0,0,21.67788242
Ga0401699_0426448_531_1052_Redoxin,0,0,0,0
Ga0401699_0436872_1_249_D-lactate dehydrogenase Cytochrome_ FAD,0,1.12624788,0,0
Ga0401699_0451735_573_1133_Belongs to the 4Fe4S bacterial-type ferredoxin family. RnfB subfamily,5.451361778,0,0,0
Ga0401699_0456577_1156_1338_Voltage-gated potassium channel,17.26264563,3.378743641,4.367902324,21.67788242
Ga0401699_0012195_4253_4621_TIGRFAM Succinate dehydrogenase_ hydrophobic membrane anchor,1.817120593,0,0,1.032280115
Ga0401699_0476515_1_1197_PFAM Acyl-CoA dehydrogenase_ C-terminal domain,4.542801482,5.631239402,2.620741394,4.129120462
Ga0401699_0481624_1046_1408_Fumarate reduCtase,2.725680889,0,0.873580465,0
Ga0401699_0488160_1072_1317_essential for photochemical activity. FB is the terminal electron acceptor of PSI_ donating electrons to ferredoxin. The C-terminus interacts with PsaA B D and helps assemble the protein into the PSI complex. Required for binding of PsaD and PsaE to PSI. PSI is a plastocyanin cytochrome c6- ferredoxin oxidoreductase_ converting photonic excitation into a charge separation_ which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0_ A1_ FX_ FA and FB in turn,0,0,5.241482788,0
Ga0401699_0013178_4119_5240_LPS biosynthesis protein,3.634241186,5.631239402,13.97728744,13.4196415
Ga0401699_0499914_65_853_Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division,1.817120593,12.38872668,0.873580465,3.096840346
Ga0401699_0500007_6_1019_protein involved in exopolysaccharide biosynthesis,1.817120593,7.883735163,1.747160929,4.129120462
Ga0401699_0500065_1033_1371_Anion-transporting ATPase,0.908560296,1.12624788,0,0
Ga0401699_0500216_4_363_Binds and transfers iron-sulfur Fe-S clusters to target apoproteins. Can hydrolyze ATP,0,1.12624788,0.873580465,0
Ga0401699_0500655_593_1381_Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase,0,7.883735163,4.367902324,14.45192162
Ga0401699_0500988_1_1380_Essential cell division protein that forms a contractile ring structure Z ring at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity,15.44552504,10.13623092,16.59802883,9.290521039
Ga0401699_0500989_97_1380_Protein of unknown function DUF3638,2.725680889,1.12624788,4.367902324,0
Ga0401699_0501093_45_851_Belongs to the ParA family,0,1.12624788,3.494321859,1.032280115
Ga0401699_0013221_5202_6215_Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNAIle that contains the anticodon CAU_ in an ATP-dependent manner. Cytidine is converted to lysidine_ thus changing the amino acid specificity of the tRNA from methionine to isoleucine,0.908560296,1.12624788,0.873580465,0
Ga0401699_0501274_992_1354_Protein of unknown function DUF3450,0,1.12624788,0,0
Ga0401699_0502497_3_305_COG1192 ATPases involved in chromosome partitioning,0,3.378743641,0,0
Ga0401699_0503682_148_1182_TIGRFAM cell shape determining protein_ MreB Mrl family,17.26264563,19.14621397,15.72444837,18.58104208
Ga0401699_0013305_4977_6128_Reduces the stability of FtsZ polymers in the presence of ATP,2.725680889,6.757487283,13.10370697,10.32280115
Ga0401699_0504716_664_1377_COG4974 Site-specific recombinase XerD,0,1.12624788,0,1.032280115
Ga0401699_0013345_5706_6086_Activator of cell division through the inhibition of FtsZ GTPase activity_ therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division,116.2957179,111.4985402,89.97878787,110.4539724
Ga0401699_0506027_2_382_CobQ CobB MinD ParA nucleotide binding domain protein,3.634241186,2.252495761,0,1.032280115
Ga0401699_0506474_374_679_Septum formation initiator,0.908560296,4.504991522,3.494321859,2.064560231
Ga0401699_0506791_367_1374_tRNA processing,0.908560296,0,0,2.064560231
Ga0401699_0507133_2_949_Required for chromosome condensation and partitioning,0.908560296,3.378743641,4.367902324,3.096840346
Ga0401699_0507133_958_1374_cell septum assembly,3.634241186,0,0,0
Ga0401699_0507387_413_1372_Cell division protein that is involved in the assembly of the Z ring. May serve as a membrane anchor for the Z ring,0,6.757487283,6.988643718,0
Ga0401699_0013424_275_2566_Ftsk_gamma,15.44552504,15.76747033,35.81679905,27.87156312
Ga0401699_0508256_427_1371_Iron-sulfur cluster assembly protein,0.908560296,1.12624788,2.620741394,5.161400577
Ga0401699_0508571_447_1370_Actin,0,3.378743641,0,5.161400577
Ga0401699_0508678_437_1216_Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves,0,0,0.873580465,0
Ga0401699_0508708_1_291_MreB/Mbl protein,0,1.12624788,0,0
Ga0401699_0509281_1_1344_Capsular exopolysaccharide family,1.817120593,2.252495761,1.747160929,0
Ga0401699_0509507_3_890_Rod shape-determining protein MreB,0,0,1.747160929,0
Ga0401699_0509520_48_1103_Sporulation related domain,4.542801482,15.76747033,0,0
Ga0401699_0510580_254_1288_Cell shape determining protein MreB Mrl,2.725680889,3.378743641,5.241482788,0
Ga0401699_0510668_254_1369_Essential cell division protein that coordinates cell division and chromosome segregation. The N-terminus is involved in assembly of the cell-division machinery. The C-terminus functions as a DNA motor that moves dsDNA in an ATP-dependent manner towards the dif recombination site_ which is located within the replication terminus region. Translocation stops specifically at Xer-dif sites_ where FtsK interacts with the Xer recombinase_ allowing activation of chromosome unlinking by recombination. FtsK orienting polar sequences KOPS guide the direction of DNA translocation. FtsK can remove proteins from DNA as it translocates_ but translocation stops specifically at XerCD-dif site_ thereby preventing removal of XerC and XerD from dif By similarity,1.817120593,2.252495761,2.620741394,6.193680693
Ga0401699_0510964_584_1357_CobQ CobB MinD ParA nucleotide binding domain,2.725680889,1.12624788,1.747160929,1.032280115
Ga0401699_0511850_2_634_NAD-binding protein involved in the addition of a carboxymethylaminomethyl cmnm group at the wobble position U34 of certain tRNAs_ forming tRNA-cmnm5s2U34,0.908560296,3.378743641,0,0
Ga0401699_0512575_856_1359_Stage II sporulation protein,0,0,4.367902324,0
Ga0401699_0512590_8_1315_PP-loop family,4.542801482,5.631239402,0.873580465,0
Ga0401699_0512974_3_1034_Stage II sporulation D domain protein,1.817120593,3.378743641,1.747160929,0
Ga0401699_0013546_4915_5235_Essential cell division protein. May link together the upstream cell division proteins_ which are predominantly cytoplasmic_ with the downstream cell division proteins_ which are predominantly periplasmic,3.634241186,1.12624788,1.747160929,0
Ga0401699_0513414_2_211_Antitoxin component of a toxin-antitoxin TA module,0,0,2.620741394,0
Ga0401699_0513427_2_1195_Fibronectin type 3 domain,7.268482371,14.64122245,44.5526037,16.51648185
Ga0401699_0513638_581_1363_von Willebrand factor VWF type A domain,0,0,0,0
Ga0401699_0513671_1_1227_peptidyl-prolyl cis-trans isomerase activity,5.451361778,3.378743641,7.862224183,2.064560231
Ga0401699_0513943_2_595_Necessary for normal cell division and for the maintenance of normal septation,0,0,2.620741394,0
Ga0401699_0013571_5846_6508_Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,3.634241186,6.757487283,6.988643718,2.064560231
Ga0401699_0514934_93_854_4Fe-4S iron sulfur cluster binding proteins_ NifH/frxC family,5.451361778,0,3.494321859,1.032280115
