query_name	Preferred_name	KEGG_ko	eggNOG.free.text.desc.	2.5nM_DFB_A	2.5nM_DFB_B	2.5nM_Fe_A	2.5nM_Fe_B
Ga0401699_0010506_604_2070		ko:K21572	Pfam:SusD	9.338069869	35.5935961	40.77226968	42.99589888
Ga0401699_0010543_13_7416		ko:K10408	Dynein heavy chain and region D6 of dynein motor	34.80553315	24.80765789	0	0
Ga0401699_0010778_2962_7272		"ko:K01212,ko:K01317,ko:K12287,ko:K20276"	HemY domain protein	21.22288607	14.02171968	0	0
Ga0401699_0010911_3593_7141			Thrombospondin type 1 repeats	31.40987138	7.550156749	0.715302977	1.719835955
Ga0401699_0010922_180_7310				126.488401	111.0951636	2.145908931	7.739261798
Ga0401699_0010981_14_7294			Source PGD	47.53926479	17.25750114	1.430605954	0
Ga0401699_0010982_895_7275			Tudor domain	21.22288607	22.65047025	0.715302977	0
Ga0401699_0010992_240_7280			Thrombospondin type 1 repeats	122.2438237	53.92969106	0	0.859917978
Ga0401699_0011017_114_4544	rpoB	"ko:K03043,ko:K03046"	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	5.942408098	7.550156749	107.2954465	114.369091
Ga0401699_0011204_1292_2716	atpB	"ko:K02112,ko:K02114,ko:K02133"	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits	174.0276657	100.3092254	344.7760349	578.7247989
Ga0401699_0011204_2731_3132	atpE	"ko:K02114,ko:K02134"	"proton-transporting ATP synthase activity, rotational mechanism"	58.57516554	44.22234667	140.9146864	195.2013809
Ga0401699_0011257_3_6959	ODA-DHCB	ko:K10408	dynein light chain binding	23.76963239	18.33609496	0	0.859917978
Ga0401699_0011260_1426_7041			Thrombospondin type 1 repeats	41.59685669	12.94312585	0.715302977	0
Ga0401699_0011280_2_7132		ko:K10408	dynein light chain binding	18.67613974	5.392969106	0	0
Ga0401699_0011300_6_7172	TRAF3IP1	ko:K19680	intraciliary transport	20.37397062	43.14375285	0	2.579753933
Ga0401699_0011326_3_6914		"ko:K14645,ko:K20754"	Peptidase inhibitor I9	89.98503692	31.27922082	0	2.579753933
Ga0401699_0011393_2_7012	SSPO	"ko:K08621,ko:K13912"	Netrin receptor	16.97830885	15.1003135	0	0
Ga0401699_0011408_86_7162			Thrombospondin type 1 repeats	96.77636046	44.22234667	0	0
Ga0401699_0011441_1478_2938	ycf24	ko:K07033	Uncharacterized protein family (UPF0051)	22.07180151	25.88625171	144.4912013	161.6645798
Ga0401699_0011441_3317_7135	CLTC	ko:K04646	clathrin light chain binding	204.5886217	327.8925217	558.651625	581.3045528
Ga0401699_0011520_2_6835				241.0919857	266.4126738	37.91105778	57.6145045
Ga0401699_0011611_87_7115			"Beta-ketoacyl synthase, C-terminal domain"	95.07852957	37.75078374	0	0
Ga0401699_0011675_1402_2142	rplB	ko:K02886	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"	43.29468757	35.5935961	0	0
Ga0401699_0011675_2424_3263	rpsC	ko:K02982	"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation"	22.07180151	32.35781464	0	0
Ga0401699_0011675_4907_5272		ko:K03880	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	37.35227948	60.40125399	1.430605954	0.859917978
Ga0401699_0011675_5353_5580	atp9	"ko:K02128,ko:K03880"	ATP hydrolysis coupled proton transport	34.80553315	36.67218992	0	0
Ga0401699_0011768_850_7077			Thrombospondin type 1 repeats	82.34479793	48.53672196	1.430605954	0
Ga0401699_0011814_1_7062	pvdI		Non-ribosomal peptide synthetase modules and related	50.08601111	46.37953431	4.291817861	6.019425843
Ga0401699_0011825_1255_6951	ODA-DHCA	ko:K10408	dynein light chain binding	33.10770226	15.1003135	0	0
Ga0401699_0011864_216_6983	brr2	ko:K12854	response to ionizing radiation	11.03590075	29.12203317	0	0
Ga0401699_0011898_131_7042			EF-hand domain pair	32.25878682	20.4932826	2.861211908	1.719835955
Ga0401699_0012031_22_6735				29.71204049	20.4932826	0	0.859917978
Ga0401699_0012043_1_6756			"PFAM Beta-ketoacyl synthase, N-terminal"	27.16529416	18.33609496	0	0
Ga0401699_0012148_1_6972				61.97082731	62.55844163	7.153029769	6.019425843
Ga0401699_0012157_210_6668			Mastigoneme. Source PGD	33.10770226	32.35781464	4.291817861	0.859917978
Ga0401699_0012290_59_6877		ko:K10408	dynein light chain binding	34.80553315	34.51500228	0.715302977	0.859917978
Ga0401699_0012320_103_6876	CAND1	"ko:K09490,ko:K17263"	SCF complex assembly	39.8990258	16.17890732	0	0
Ga0401699_0012387_108_4268		"ko:K06238,ko:K14965,ko:K17495,ko:K19721"	structural constituent of cuticle	26.31637872	21.57187642	0	0
Ga0401699_0012512_1637_3175	atpA	ko:K02111	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	661.3051298	629.8987916	5.722423815	1.719835955
Ga0401699_0012512_26_805	atp6	ko:K02126	"Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel"	174.8765812	250.2337665	1.430605954	4.299589888
Ga0401699_0012512_3312_4790	nad4	ko:K03881	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	159.5961032	216.7973581	0.715302977	1.719835955
Ga0401699_0012512_5409_6605		ko:K03935	Belongs to the complex I 49 kDa subunit family	147.711287	151.003135	2.145908931	2.579753933
Ga0401699_0012512_795_1604		ko:K02262	"Subunits I, II and III form the functional core of the enzyme complex"	231.7539158	239.4478283	2.145908931	0
Ga0401699_0012563_3_6842			serine-type endopeptidase activity	10.18698531	15.1003135	2.145908931	1.719835955
Ga0401699_0012673_275_6856				84.89154426	46.37953431	6.437726792	9.459097753
Ga0401699_0012808_2347_3684	atp6	ko:K02126	ATP synthase A chain	6.791323541	33.43640846	0	0
Ga0401699_0012808_3764_5344	atpA	ko:K02111	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	49.23709567	183.3609496	4.291817861	8.599179776
Ga0401699_0012808_498_1271	rplB	ko:K02886	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"	6.791323541	14.02171968	0.715302977	0
Ga0401699_0012942_4_6663				22.92071695	32.35781464	55.7936322	63.63393034
Ga0401699_0012967_14_6790			von Willebrand factor D and EGF	61.97082731	70.10859838	7.153029769	2.579753933
Ga0401699_0013093_155_940	atpB	ko:K02108	it plays a direct role in the translocation of protons across the membrane	53.48167289	28.04343935	39.34166373	47.29548877
Ga0401699_0013121_1_6756	PKHD1L1		Polycystic kidney and hepatic disease 1 (autosomal	69.6110663	35.5935961	3.576514884	0.859917978
Ga0401699_0013187_77_6628	MYO7A	"ko:K10359,ko:K21868"	translation initiation factor activity	77.25130528	69.03000456	3.576514884	6.879343821
Ga0401699_0013225_200_6502				142.6177944	71.1871922	0.715302977	1.719835955
Ga0401699_0013237_2057_6490		"ko:K03406,ko:K13924,ko:K20276"	COG2931 RTX toxins and related Ca2 -binding proteins	64.51757364	57.16547253	3.576514884	3.43967191
Ga0401699_0013253_3692_4483		ko:K02261	"Cytochrome C oxidase subunit II, periplasmic domain"	302.2138976	278.2772059	33.61923991	24.93762135
Ga0401699_0013253_4817_6307	cox1	ko:K02256	Cytochrome C and Quinol oxidase polypeptide I	498.3133648	503.7033145	32.18863396	45.57565281
Ga0401699_0013253_701_1858	cob	ko:K00412	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis	97.6252759	91.68047481	5.722423815	7.739261798
Ga0401699_0013253_75_653	ALI1	ko:K03936	Belongs to the complex I 30 kDa subunit family	60.27299643	70.10859838	4.291817861	4.299589888
Ga0401699_0013346_5222_6247	trxB2	"ko:K00384,ko:K21567"	Ferredoxin--NADP reductase	108.6611767	72.26578602	9.2989387	12.03885169
Ga0401699_0013353_1_6690	PKHD1L1		Polycystic kidney and hepatic disease 1 (autosomal	28.01420961	22.65047025	1.430605954	1.719835955
Ga0401699_0013358_4467_5252	yitD	ko:K08097	PFAM (2R)-phospho-3-sulfolactate synthase ComA	43.29468757	20.4932826	66.52317685	70.51327416
Ga0401699_0013645_229_6534			Thrombospondin type 1 repeats	209.6821143	220.0331395	23.60499824	17.19835955
Ga0401699_0013654_1454_2032	ALI1	ko:K03936	Belongs to the complex I 30 kDa subunit family	15.28047797	14.02171968	0	0
Ga0401699_0013654_252_1400	cob	ko:K00412	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis	12.73373164	32.35781464	0	1.719835955
Ga0401699_0013654_3841_4632		ko:K02261	"Cytochrome C oxidase subunit II, periplasmic domain"	43.29468757	45.30094049	0	0
Ga0401699_0013654_4965_6455	cox1	ko:K02256	Cytochrome C and Quinol oxidase polypeptide I	88.28720603	112.1737574	0.715302977	0
Ga0401699_0013688_151_6606		ko:K12567	cytoskeletal protein binding	25.46746328	11.86453203	0	0
Ga0401699_0013705_36_6536			"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"	66.21540452	56.0868787	0	0
Ga0401699_0013868_17_5014	POLA1	ko:K02320	DNA Polymerase alpha zinc finger	6.791323541	4.314375285	0	0
Ga0401699_0013904_3_6536		ko:K20276	Hemolysin-type calcium-binding	42.44577213	25.88625171	0	1.719835955
Ga0401699_0013940_40_6588	TNFRSF1B	ko:K05141	negative regulation of extracellular matrix constituent secretion	83.19371338	34.51500228	5.722423815	6.019425843
Ga0401699_0013967_1228_1674	bfr	ko:K03594	PFAM Ferritin Dps family protein	13.58264708	32.35781464	212.4449841	254.5357214
Ga0401699_0014045_51_6566	pltC	"ko:K12436,ko:K16128,ko:K16394,ko:K16397"	PFAM short-chain dehydrogenase reductase SDR	19.52505518	45.30094049	0	0.859917978
Ga0401699_0014073_1997_6559			negative regulation of phosphatase activity	71.30889718	38.82937756	1.430605954	3.43967191
Ga0401699_0014233_17_6526		ko:K07243		578.9603319	285.8273626	13.59075656	9.459097753
Ga0401699_0014335_628_6435		ko:K14965	TNFR/NGFR cysteine-rich region	47.53926479	47.45812813	7.868332746	1.719835955
Ga0401699_0014336_3754_4191	PSAL	ko:K02699	photosynthesis	49.23709567	45.30094049	150.9289281	187.4621191
Ga0401699_0014620_3610_4236	rplC	ko:K02906	"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit"	16.97830885	12.94312585	96.56590188	49.01532472
Ga0401699_0014683_2080_2655	rplE	ko:K02931	"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"	0	12.94312585	0	0
Ga0401699_0014683_4000_6012		ko:K03934	Belongs to the complex I 75 kDa subunit family	16.12939341	85.20891188	5.722423815	0
Ga0401699_0014728_106_6342	ACC1	ko:K11262	"Acetyl-CoA carboxylase, central region"	4.244577213	1.078593821	67.23847983	116.948845
Ga0401699_0014729_1419_3488		ko:K03934	Belongs to the complex I 75 kDa subunit family	42.44577213	36.67218992	0	0
Ga0401699_0014729_3554_4171	nad6	ko:K03884	Belongs to the complex I subunit 6 family	24.61854784	6.471562927	0	0
Ga0401699_0014729_391_1404	nuoH	ko:K00337	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone"	22.92071695	12.94312585	0	0
Ga0401699_0014729_4325_6340	nad5	ko:K03883	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	45.8414339	35.5935961	0.715302977	0
Ga0401699_0014766_195_6425	sig3		regulation of canonical Wnt signaling pathway involved in osteoblast differentiation	40.74794125	19.41468878	0	0
Ga0401699_0014795_2_6421		"ko:K03406,ko:K13924,ko:K21449"	PFAM SMP-30 Gluconolaconase	101.8698531	64.71562927	3.576514884	4.299589888
Ga0401699_0014796_19_6423	MATN1		Matrilin 1	0.848915443	0	2.861211908	0
Ga0401699_0014804_215_394	psbJ	ko:K02711	Photosystem II protein J	135.8264708	198.4612631	427.0358772	317.3097337
Ga0401699_0014858_2271_2636	nuoA	ko:K00330	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	104.4165994	72.26578602	12.16015061	4.299589888
Ga0401699_0014858_2765_3520	atp6	ko:K02126	ATP synthase A chain	215.6245224	447.6164358	30.75802801	32.67688315
Ga0401699_0014858_3569_4267		ko:K02262	"Subunits I, II and III form the functional core of the enzyme complex"	315.7965447	559.7901932	29.32742205	49.01532472
Ga0401699_0014858_4565_5722	cob	ko:K00412	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis	279.2931806	429.2803409	28.61211908	43.85581686
Ga0401699_0014858_5771_6373	NDUFS3	ko:K03936	NADH dehydrogenase ubiquinone	97.6252759	184.4395434	14.30605954	6.879343821
Ga0401699_0015021_35_6379	ENAH	"ko:K03099,ko:K05746,ko:K10357,ko:K21868"	translation initiation factor activity	20.37397062	14.02171968	0	0
Ga0401699_0015043_760_6009		ko:K01404	regulation of choline O-acetyltransferase activity	38.20119492	51.77250342	3.576514884	1.719835955
Ga0401699_0015093_9_6311			Thrombospondin type 1 repeats	75.55347439	63.63703545	6.437726792	10.31901573
Ga0401699_0015107_226_6339			Thrombospondin type 1 repeats	124.7905701	56.0868787	5.722423815	9.459097753
Ga0401699_0015174_36_6311	Myo22		translation initiation factor activity	42.44577213	23.72906407	2.861211908	0
Ga0401699_0015661_1_6264				43.29468757	38.82937756	6.437726792	5.159507865
Ga0401699_0015744_50_6100	PCDH15	"ko:K16506,ko:K16669"	homophilic cell adhesion via plasma membrane adhesion molecules	38.20119492	20.4932826	1.430605954	2.579753933
Ga0401699_0015823_88_6159	CHAF1B	ko:K10751	Chromatin assembly factor 1 subunit B. Source PGD	19.52505518	21.57187642	0	0.859917978
Ga0401699_0016176_1_6084		ko:K10408	dynein light chain binding	22.07180151	17.25750114	0.715302977	1.719835955
Ga0401699_0016184_2_5473			Pleckstrin homology domain	14.43156252	9.707344391	0	0
Ga0401699_0016237_1_6141	FLM	ko:K06572	regulation of membrane repolarization during atrial cardiac muscle cell action potential	112.0568384	131.5884462	5.007120838	3.43967191
Ga0401699_0016422_2_5845			Thrombospondin type 1 repeats	22.07180151	12.94312585	0	0
Ga0401699_0016455_4303_5268		"ko:K16726,ko:K17751"	translation initiation factor activity	87.43829059	49.61531578	30.75802801	42.1359809
Ga0401699_0016562_441_6083				27.16529416	14.02171968	0	0.859917978
Ga0401699_0016658_18_749	ctaA	ko:K02259	Catalyzes the oxidation of the C8 methyl side group on heme O porphyrin ring into a formyl group	66.21540452	179.0465743	7.868332746	19.77811348
Ga0401699_0016737_26_6091		ko:K12567	PA14	18.67613974	20.4932826	0	0
Ga0401699_0016878_3_6062		ko:K10408	Dynein heavy chain. Source PGD	51.783842	32.35781464	2.861211908	3.43967191
Ga0401699_0016987_31_6045				89.98503692	65.7942231	8.583635723	12.03885169
Ga0401699_0017070_6_3503			calcium ion binding	115.4525002	76.58016131	37.91105778	32.67688315
Ga0401699_0017219_2_6010			Source PGD	16.12939341	12.94312585	0	0
Ga0401699_0017314_399_5921				57.7262501	57.16547253	0	0
Ga0401699_0017432_17_5935			Thrombospondin type 1 repeats	18.67613974	18.33609496	0	0
Ga0401699_0017505_150_5777		ko:K05665	It is involved in the biological process described with transmembrane transport	12.73373164	9.707344391	0.715302977	0
Ga0401699_0017559_1690_2418		ko:K12316	"alpha-1,4-glucosidase activity"	60.27299643	103.5450068	36.48045182	29.23721124
Ga0401699_0017559_3052_4845		"ko:K01187,ko:K12316,ko:K15925"	Belongs to the glycosyl hydrolase 31 family	178.272243	225.4261086	83.6904483	122.1083528
Ga0401699_0017657_488_1726		"ko:K01183,ko:K05989"	chitin binding	195.2505518	140.2171968	0.715302977	2.579753933
Ga0401699_0017817_2413_2838	psaD	ko:K02692	photosynthesis	6.791323541	18.33609496	46.4946935	30.95704719
Ga0401699_0017839_207_1502		ko:K01999	"amino acid transport system, periplasmic component"	133.2797245	168.2606361	1.430605954	0
Ga0401699_0017988_105_1484	SERINC3		serine transport	210.5310298	255.6267356	0.715302977	1.719835955
Ga0401699_0018016_34_5475	ATP4A	"ko:K01539,ko:K01541,ko:K01542,ko:K01544"	Sodium potassium-transporting ATPase subunit alpha. Source PGD	121.3949083	98.15203773	31.47333098	16.33844157
Ga0401699_0018161_113_5875				478.7883096	420.6515903	51.50181434	43.85581686
Ga0401699_0018612_2_5818			phosphatidylethanolamine binding	40.74794125	25.88625171	5.007120838	0
Ga0401699_0018705_1992_2411	psaD	ko:K02692	PsaD	39.05011036	34.51500228	216.021499	289.7923584
Ga0401699_0018705_4462_4821	rpl20	ko:K02887	rRNA binding	6.791323541	3.235781464	26.46621015	47.29548877
Ga0401699_0018705_612_1094	CYTB	"ko:K00412,ko:K02637"	"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions"	43.29468757	62.55844163	115.1637793	160.8046618
Ga0401699_0018759_4_5715	PIEZO2	ko:K22128	"Piezo non-specific cation channel, R-Ras-binding domain"	22.07180151	26.96484553	0	0
Ga0401699_0018949_168_5774			semaphorin-plexin signaling pathway	25.46746328	40.98656521	10.01424168	8.599179776
Ga0401699_0019046_511_5760	lztr1	"ko:K12115,ko:K12116,ko:K12117"	Kelch	19.52505518	8.62875057	0	0
Ga0401699_0019112_1_5754			Source PGD	28.01420961	30.20062699	0.715302977	1.719835955
Ga0401699_0019217_3_5624		"ko:K10614,ko:K10615,ko:K12864"	Ubiquitin-protein ligase	22.07180151	7.550156749	0	0
Ga0401699_0019244_2193_5561		"ko:K05996,ko:K06987,ko:K13277"	"Thermolysin metallopeptidase, catalytic domain"	14.43156252	6.471562927	0	0
Ga0401699_0019473_3424_3843	psaD	ko:K02692	PsaD	81.49588249	113.2523512	449.2102695	602.8025023
Ga0401699_0019473_3912_4661	petB	"ko:K00412,ko:K02635,ko:K02705"	"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions"	29.71204049	97.07344391	160.9431698	147.0459742
Ga0401699_0019506_1826_3322		ko:K03879	ATP synthesis coupled electron transport	180.8189893	313.870802	17.16727145	28.37729326
Ga0401699_0019506_92_1570	nad4	ko:K03881	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	135.8264708	286.9059564	20.02848335	24.93762135
Ga0401699_0019534_337_5604	IFT172	ko:K19676	Intraflagellar transport protein 172. Source PGD	17.8272243	18.33609496	0.715302977	0
Ga0401699_0019624_448_939	psbV	ko:K02720	Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II	44.14360302	56.0868787	63.66196494	79.97237192
Ga0401699_0019761_606_5297		ko:K10395	microtubule motor activity	0.848915443	12.94312585	0	0
Ga0401699_0019825_2_5659		ko:K10408	dynein light chain binding	15.28047797	11.86453203	0.715302977	0
Ga0401699_0019834_162_5660		ko:K03352	"complement activation, classical pathway"	20.37397062	8.62875057	0	0
Ga0401699_0019840_1140_1757	nad6	ko:K03884	Belongs to the complex I subunit 6 family	24.61854784	34.51500228	0	1.719835955
Ga0401699_0019840_142_510	rpsL	ko:K02950	"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit"	24.61854784	16.17890732	0	0
Ga0401699_0019840_691_1122	rpsG	ko:K02992	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA"	7.640238984	18.33609496	0	0
Ga0401699_0019861_877_5655		ko:K01185	Phage lysozyme	17.8272243	18.33609496	0	0
Ga0401699_0019895_3_5648				498.3133648	369.9576807	55.07832922	43.85581686
Ga0401699_0019998_2843_3028	COX3	ko:K02262	"Subunits I, II and III form the functional core of the enzyme complex"	151.1069488	211.404389	50.07120838	50.73516068
Ga0401699_0020057_3191_5404	acxA	"ko:K01469,ko:K01473,ko:K10855"	"COG0145 N-methylhydantoinase A acetone carboxylase, beta subunit"	140.071048	125.1168833	123.032112	184.8823652
Ga0401699_0020058_1_5604				338.7172616	308.4778329	37.91105778	40.41614495
Ga0401699_0020076_127_5628	TNXB	"ko:K02599,ko:K05717,ko:K06252"	Tenascin XB	35.65444859	14.02171968	0.715302977	2.579753933
Ga0401699_0020077_2_5290	DNF3	"ko:K01509,ko:K01530,ko:K14802"	phospholipid-translocating ATPase activity	14.43156252	15.1003135	0	1.719835955
Ga0401699_0020199_5_5476				125.6394855	142.3743844	7.153029769	2.579753933
Ga0401699_0020225_237_5399	CLTC	ko:K04646	Clathrin heavy chain. Source PGD	44.14360302	48.53672196	2.861211908	3.43967191
Ga0401699_0020259_1_5265	PTCHD2		Patched domain-containing protein 2	41.59685669	29.12203317	7.153029769	4.299589888
Ga0401699_0020305_61_5478				56.87733466	29.12203317	0	0
Ga0401699_0020306_115_5541	ATP4A	"ko:K01539,ko:K01541,ko:K01542,ko:K01544"	sodium:potassium-exchanging ATPase activity	196.9483827	148.8459473	0.715302977	0
Ga0401699_0020553_61_5307			Protein of unknown function (DUF1501)	78.10022072	72.26578602	70.81499471	112.6492551
Ga0401699_0020560_101_2920		ko:K00128	Protein of unknown function (DUF1620)	10.18698531	14.02171968	0	0
Ga0401699_0020839_28_5535			acyl transferase domain	23.76963239	15.1003135	0	0
Ga0401699_0021068_2178_2987		ko:K02262	"Subunits I, II and III form the functional core of the enzyme complex"	221.5669305	187.6753249	1.430605954	0
Ga0401699_0021068_3010_3765	atp6	ko:K02126	ATP synthase A chain	217.3223533	206.0114199	0	6.879343821
Ga0401699_0021068_35_472		ko:K03879	ATP synthesis coupled electron transport	5.093492656	10.78593821	0	0
Ga0401699_0021068_3944_4387		ko:K03880	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	57.7262501	65.7942231	1.430605954	0
Ga0401699_0021068_4389_4679		ko:K02128	Belongs to the ATPase C chain family	58.57516554	71.1871922	2.145908931	0.859917978
Ga0401699_0021068_622_2160	atpA	ko:K02111	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	561.982023	545.7684735	5.722423815	7.739261798
Ga0401699_0021105_1_5028		"ko:K04851,ko:K04857"	Voltage-gated Ion Channel (VIC) Superfamily. Source PGD	13.58264708	12.94312585	0	0
Ga0401699_0021219_190_5496			Thrombospondin type 1 repeats	78.10022072	43.14375285	0	0
Ga0401699_0021243_14_5458		"ko:K05699,ko:K21073"	actin binding	42.44577213	43.14375285	0	0
Ga0401699_0021455_210_5399	CLTC	ko:K04646	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles	50.93492656	102.466413	135.1922626	186.6022011
Ga0401699_0021713_287_5440		ko:K10408	dynein light chain binding	31.40987138	10.78593821	0	0
Ga0401699_0021792_48_5135	ATP4A	"ko:K01539,ko:K01541,ko:K01542,ko:K01544"	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	129.8840627	52.85109724	3.576514884	0.859917978
Ga0401699_0021857_62_3892		ko:K14026	Sel1-like repeats.	10.18698531	5.392969106	0	0
Ga0401699_0021890_55_5370	CLTC	ko:K04646	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles	60.27299643	53.92969106	0.715302977	0
Ga0401699_0021904_86_5311		"ko:K05665,ko:K05666,ko:K05674"	ABC transporter C family member	23.76963239	18.33609496	0.715302977	0.859917978
Ga0401699_0022054_3_5387			"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"	63.6686582	49.61531578	0	0
Ga0401699_0022117_61_5397	PCDH15	"ko:K16506,ko:K16669"	Cadherin domain	17.8272243	14.02171968	0	0
Ga0401699_0022161_3388_4452	chlI	ko:K03405	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX	51.783842	85.20891188	277.537555	332.7882573
Ga0401699_0022161_4765_5067	rps14	"ko:K02954,ko:K20101"	"Binds 16S rRNA, required for the assembly of 30S particles"	13.58264708	38.82937756	108.7260525	120.3885169
Ga0401699_0022161_967_1311	rpl20	ko:K02887	rRNA binding	5.093492656	6.471562927	96.56590188	120.3885169
Ga0401699_0022270_213_5372	CLTC	ko:K04646	negative regulation of hyaluronan biosynthetic process	33.10770226	31.27922082	1.430605954	1.719835955
Ga0401699_0022286_70_5172			Hep Hag repeat protein	184.214651	226.5047025	87.98226616	94.59097753
Ga0401699_0022601_18_5192	CLTC	ko:K04646	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles	26.31637872	23.72906407	65.0925709	90.29138765
Ga0401699_0022638_36_5342	TMEM132E	ko:K17599	negative regulation of phosphatase activity	67.06431997	46.37953431	5.722423815	1.719835955
Ga0401699_0022896_1926_2264	nad5	ko:K03883	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	117.1503311	191.9897002	17.88257442	20.63803146
Ga0401699_0022913_1140_2732	groL	ko:K04077	Belongs to the chaperonin (HSP60) family	6.791323541	4.314375285	111.5872644	133.2872865
Ga0401699_0022981_130_5103	ALLC	"ko:K00225,ko:K01477,ko:K13354,ko:K15168"	allantoicase activity	11.8848162	7.550156749	0	0
