Gene,DFB_A,DFB_B,control,Fe_A,Fe_B
Ga0401699_0019895_3_5648_,498.3133648,369.9576807,379.8176352,55.07832922,43.85581686
Ga0401699_0019998_2843_3028_Subunits I_ II and III form the functional core of the enzyme complex,151.1069488,211.404389,163.0349283,50.07120838,50.73516068
Ga0401699_0020057_3191_5404_COG0145 N-methylhydantoinase A acetone carboxylase_ beta subunit,140.071048,125.1168833,28.6654819,123.032112,184.8823652
Ga0401699_0020058_1_5604_,338.7172616,308.4778329,300.0917637,37.91105778,40.41614495
Ga0401699_0020076_127_5628_Tenascin XB,35.65444859,14.02171968,19.70751881,0.715302977,2.579753933
Ga0401699_0020077_2_5290_phospholipid-translocating ATPase activity,14.43156252,15.1003135,26.87388929,0,1.719835955
Ga0401699_0020199_5_5476_,125.6394855,142.3743844,87.78803833,7.153029769,2.579753933
Ga0401699_0020225_237_5399_Clathrin heavy chain. Source PGD,44.14360302,48.53672196,78.83007524,2.861211908,3.43967191
Ga0401699_0020259_1_5265_Patched domain-containing protein 2,41.59685669,29.12203317,35.83185238,7.153029769,4.299589888
Ga0401699_0020305_61_5478_,56.87733466,29.12203317,18.8117225,0,0
Ga0401699_0020306_115_5541_sodium:potassium-exchanging ATPase activity,196.9483827,148.8459473,155.8685579,0.715302977,0
Ga0401699_0020553_61_5307_Protein of unknown function DUF1501,78.10022072,72.26578602,19.70751881,70.81499471,112.6492551
Ga0401699_0020560_101_2920_Protein of unknown function DUF1620,10.18698531,14.02171968,33.14446345,0,0
Ga0401699_0020839_28_5535_acyl transferase domain,23.76963239,15.1003135,18.8117225,0,0
Ga0401699_0021068_2178_2987_Subunits I_ II and III form the functional core of the enzyme complex,221.5669305,187.6753249,230.2196515,1.430605954,0
Ga0401699_0021068_3010_3765_ATP synthase A chain,217.3223533,206.0114199,212.3037254,0,6.879343821
Ga0401699_0021068_35_472_ATP synthesis coupled electron transport,5.093492656,10.78593821,16.12433357,0,0
Ga0401699_0021068_3944_4387_Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase Complex I that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone,57.7262501,65.7942231,58.22676012,1.430605954,0
Ga0401699_0021068_4389_4679_Belongs to the ATPase C chain family,58.57516554,71.1871922,74.35109369,2.145908931,0.859917978
Ga0401699_0021068_622_2160_Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,561.982023,545.7684735,629.7448056,5.722423815,7.739261798
Ga0401699_0021105_1_5028_Voltage-gated Ion Channel VIC Superfamily. Source PGD,13.58264708,12.94312585,12.54114833,0,0
Ga0401699_0021219_190_5496_Thrombospondin type 1 repeats,78.10022072,43.14375285,44.78981548,0,0
Ga0401699_0021243_14_5458_actin binding,42.44577213,43.14375285,37.623445,0,0
Ga0401699_0021455_210_5399_Clathrin is the major protein of the polyhedral coat of coated pits and vesicles,50.93492656,102.466413,33.14446345,135.1922626,186.6022011
Ga0401699_0021713_287_5440_dynein light chain binding,31.40987138,10.78593821,23.29070405,0,0
Ga0401699_0021792_48_5135_Belongs to the cation transport ATPase P-type TC 3.A.3 family,129.8840627,52.85109724,52.85198226,3.576514884,0.859917978
Ga0401699_0021857_62_3892_Sel1-like repeats.,10.18698531,5.392969106,12.54114833,0,0
Ga0401699_0021890_55_5370_Clathrin is the major protein of the polyhedral coat of coated pits and vesicles,60.27299643,53.92969106,54.64357488,0.715302977,0
Ga0401699_0021904_86_5311_ABC transporter C family member,23.76963239,18.33609496,30.45707452,0.715302977,0.859917978
Ga0401699_0022054_3_5387_coreceptor activity involved in Wnt signaling pathway_ planar cell polarity pathway,63.6686582,49.61531578,22.39490774,0,0
Ga0401699_0022117_61_5397_Cadherin domain,17.8272243,14.02171968,12.54114833,0,0
Ga0401699_0022161_3388_4452_Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX,51.783842,85.20891188,61.80994536,277.537555,332.7882573
Ga0401699_0022161_4765_5067_Binds 16S rRNA_ required for the assembly of 30S particles,13.58264708,38.82937756,15.22853726,108.7260525,120.3885169
Ga0401699_0022161_967_1311_rRNA binding,5.093492656,6.471562927,16.12433357,96.56590188,120.3885169
Ga0401699_0022270_213_5372_negative regulation of hyaluronan biosynthetic process,33.10770226,31.27922082,20.60331512,1.430605954,1.719835955
Ga0401699_0022286_70_5172_Hep Hag repeat protein,184.214651,226.5047025,230.2196515,87.98226616,94.59097753
Ga0401699_0022601_18_5192_Clathrin is the major protein of the polyhedral coat of coated pits and vesicles,26.31637872,23.72906407,13.43694464,65.0925709,90.29138765
Ga0401699_0022638_36_5342_negative regulation of phosphatase activity,67.06431997,46.37953431,46.58140809,5.722423815,1.719835955
Ga0401699_0022896_1926_2264_NADH-Ubiquinone oxidoreductase complex I_ chain 5 N-terminus,117.1503311,191.9897002,154.9727615,17.88257442,20.63803146
Ga0401699_0022913_1140_2732_Belongs to the chaperonin HSP60 family,6.791323541,4.314375285,14.33274095,111.5872644,133.2872865
Ga0401699_0022981_130_5103_allantoicase activity,11.8848162,7.550156749,10.74955571,0,0
Ga0401699_0023050_7_5301_Beta-ketoacyl synthase,23.76963239,14.02171968,12.54114833,0,0
Ga0401699_0023131_1690_2679_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone,101.0209377,120.802508,48.37300071,2.861211908,3.43967191
Ga0401699_0023131_208_768_This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit_ where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit bridge B1b_ connecting the 2 subunits,4.244577213,12.94312585,16.12433357,0,0
Ga0401699_0023131_2701_4731_75 kDa subunit,247.8833092,340.8356475,116.4535202,3.576514884,7.739261798
Ga0401699_0023144_1937_2653_cilium movement,23.76963239,16.17890732,55.53937119,8.583635723,12.89876966
Ga0401699_0023287_86_310_ATP synthesis coupled proton transport,91.6828678,226.5047025,82.41326047,15.02136251,15.4785236
Ga0401699_0023400_100_5271_homophilic cell adhesion via plasma membrane adhesion molecules,40.74794125,20.4932826,33.14446345,0,0
Ga0401699_0023552_154_1638_Proton-conducting membrane transporter,25.46746328,26.96484553,24.18650036,0,0
Ga0401699_0023552_1769_3307_Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,255.5235482,152.0817288,171.9928914,1.430605954,0
Ga0401699_0023552_3337_4146_Subunits I_ II and III form the functional core of the enzyme complex,98.47419134,74.42297367,63.60153797,0.715302977,0
Ga0401699_0023552_4162_4920_ATP synthase A chain,58.57516554,61.47984781,56.4351675,0.715302977,0
Ga0401699_0023617_86_5152_DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,17.8272243,23.72906407,20.60331512,0.715302977,0.859917978
Ga0401699_0023710_635_5239_condensed mesenchymal cell proliferation,17.8272243,18.33609496,18.8117225,0,1.719835955
Ga0401699_0023763_262_5232_,15.28047797,6.471562927,22.39490774,0,0.859917978
Ga0401699_0023785_2564_5230_,3.39566177,18.33609496,11.64535202,0,0
Ga0401699_0024068_1058_1867_Subunits I_ II and III form the functional core of the enzyme complex,69.6110663,69.03000456,49.26879702,0,1.719835955
Ga0401699_0024068_1897_3435_Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,196.9483827,204.932826,208.7205401,6.437726792,0
Ga0401699_0024068_285_1043_ATP synthase A chain,73.00672807,80.89453659,54.64357488,0.715302977,0
Ga0401699_0024068_3568_5052_Proton-conducting membrane transporter,107.8122612,119.7239142,64.49733428,8.583635723,9.459097753
Ga0401699_0024127_2614_4680_NADH-Ubiquinone oxidoreductase complex I_ chain 5 N-terminus,5.942408098,71.1871922,60.91414905,2.145908931,1.719835955
Ga0401699_0024172_486_5084_Thrombospondin type 1 repeats,39.05011036,22.65047025,27.76968559,1.430605954,0.859917978
Ga0401699_0024278_194_2452_chlorophyll binding,722.4270417,733.4437984,1723.512099,237.4805883,233.0377719
Ga0401699_0024278_2479_4683_chlorophyll binding,695.2617475,793.8450524,1726.199488,311.8720979,219.2790843
Ga0401699_0024458_126_5168_Peptidase inhibitor I9,56.87733466,29.12203317,32.24866714,0,0
Ga0401699_0024594_2464_5121_Acyltransferase family,12.73373164,6.471562927,1.791592619,57.93954113,64.49384832
Ga0401699_0024594_342_2549_Copper type II ascorbate-dependent monooxygenase_ N-terminal domain,14.43156252,7.550156749,2.687388929,40.05696671,47.29548877
Ga0401699_0024652_3_4562_,10.18698531,15.1003135,18.8117225,0,0
Ga0401699_0024668_190_5148_calcium ion binding,25.46746328,8.62875057,13.43694464,0,0
Ga0401699_0024729_147_5135_Thrombospondin type 1 repeats,28.86312505,29.12203317,16.12433357,1.430605954,0.859917978
Ga0401699_0024834_2_5134_Dynein heavy chain. Source PGD,18.67613974,9.707344391,12.54114833,0,0
Ga0401699_0024844_133_3558_Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,58.57516554,56.0868787,7.166370476,41.48757266,58.47442248
Ga0401699_0025033_60_5117_Thrombospondin type 1 repeats,81.49588249,38.82937756,57.33096381,0,0.859917978
Ga0401699_0025355_236_4807_Chalcone and stilbene synthases_ C-terminal domain,9.338069869,20.4932826,19.70751881,1.430605954,0.859917978
Ga0401699_0025495_32_5077_D-alanyl-D-alanine carboxypeptidase,28.01420961,20.4932826,19.70751881,0,0
Ga0401699_0025566_151_4857_Sodium potassium-transporting ATPase subunit alpha. Source PGD,153.6536951,141.2957906,229.3238552,11.44484763,12.03885169
Ga0401699_0025582_2308_3777_TIGRFAM Bacteroidetes-specific,155.351526,183.3609496,164.8265209,419.1675445,344.827109
Ga0401699_0025958_83_4864_Actinin_ alpha 2,5.942408098,15.1003135,31.35287083,1.430605954,5.159507865
Ga0401699_0026105_2245_5025_negative regulation of phosphatase activity,17.8272243,18.33609496,27.76968559,1.430605954,2.579753933
Ga0401699_0026242_3_4880_endocytosis,5.942408098,21.57187642,25.97809298,2.861211908,0
Ga0401699_0026311_79_5004_This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium,48.38818023,34.51500228,31.35287083,0,0
Ga0401699_0026549_3_4898_,24.61854784,31.27922082,20.60331512,0,0
Ga0401699_0026600_3_4922_Thrombospondin type 1 repeats,533.118898,226.5047025,254.4061519,3.576514884,3.43967191
Ga0401699_0026610_1_4986_negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment,41.59685669,11.86453203,27.76968559,2.861211908,0.859917978
Ga0401699_0026706_3_4877_clathrin light chain binding,30.56095593,16.17890732,43.89401917,3.576514884,6.879343821
Ga0401699_0026787_34_2289_PsaA and PsaB bind P700_ the primary electron donor of photosystem I PSI_ as well as the electron acceptors A0_ A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase_ converting photonic excitation into a charge separation_ which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0_ A1_ FX_ FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6,201.1929599,125.1168833,127.2030759,32.18863396,30.09712922
Ga0401699_0026946_14_4732_negative regulation of growth rate,108.6611767,39.90797139,44.78981548,0,0
Ga0401699_0026957_3699_4958_alkyl hydroperoxide reductase,468.6013243,303.0848638,477.459433,81.54453937,44.71573483
Ga0401699_0027090_404_4828_secondary active sulfate transmembrane transporter activity,34.80553315,30.20062699,48.37300071,5.007120838,1.719835955
Ga0401699_0027211_266_4801_Carbamoyl-phosphate synthase small chain_ CPSase domain,6.791323541,19.41468878,18.8117225,2.145908931,0
Ga0401699_0027291_28_4884_fatty-acyl-CoA synthase activity,18.67613974,15.1003135,29.56127821,2.861211908,0
Ga0401699_0027428_11_4924_dynein light chain binding,42.44577213,28.04343935,25.97809298,1.430605954,4.299589888
Ga0401699_0027630_1_2430_A disintegrin and metalloproteinase with thrombospondin motifs,25.46746328,8.62875057,10.74955571,0,0
Ga0401699_0027707_4_4902_Transmembrane protein family 132,280.1420961,303.0848638,364.589098,28.61211908,33.53680113
Ga0401699_0027731_85_4899_negative regulation of phosphatase activity,275.0486034,283.670175,342.1941902,19.31318038,12.03885169
Ga0401699_0027851_1253_4450_,5.942408098,11.86453203,1.791592619,33.61923991,42.1359809
Ga0401699_0027969_2454_3686_protein transport,6.791323541,7.550156749,12.54114833,81.54453937,65.3537663
Ga0401699_0027969_3724_4203_Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body,4.244577213,4.314375285,4.478981548,51.50181434,56.75458652
Ga0401699_0028219_1_3456_,39.05011036,31.27922082,27.76968559,4.291817861,0
Ga0401699_0028383_3_4823_Thrombospondin type 1 repeats,33.9566177,24.80765789,19.70751881,0,0
Ga0401699_0028605_1212_2648_DnaB-like helicase N terminal domain,10.18698531,11.86453203,12.54114833,81.54453937,128.9876966
Ga0401699_0028605_3036_3461_rRNA binding,18.67613974,11.86453203,19.70751881,151.6442311,175.4232674
Ga0401699_0028605_3496_4188_Binds directly to 23S rRNA. Might be involved in E site tRNA release,17.8272243,16.17890732,30.45707452,216.736802,250.2361315
Ga0401699_0028605_4246_4629_structural constituent of ribosome,11.8848162,8.62875057,17.91592619,116.5943852,136.7269584
Ga0401699_0028620_312_4784_Hep Hag repeat protein,122.2438237,142.3743844,127.2030759,44.34878457,43.85581686
Ga0401699_0028740_337_4794_,53.48167289,44.22234667,30.45707452,2.145908931,1.719835955
Ga0401699_0029081_185_4657_Tenascin XB,52.63275744,40.98656521,34.93605607,5.722423815,1.719835955
Ga0401699_0029450_22_4599_Sodium potassium-transporting ATPase subunit alpha. Source PGD,112.0568384,166.1034485,82.41326047,14.30605954,32.67688315
Ga0401699_0029648_1570_3228_Natural resistance-associated macrophage protein,510.198181,355.935961,336.8194124,14.30605954,12.03885169
Ga0401699_0029654_134_4591_calcium ion binding,10.18698531,21.57187642,17.91592619,0.715302977,0.859917978
Ga0401699_0029760_290_4696_Hep Hag repeat protein,140.071048,124.0382894,167.5139099,54.36302624,49.8752427
Ga0401699_0029774_11_4744_Protein of unknown function DUF3645,5.942408098,6.471562927,11.64535202,0,0
Ga0401699_0029790_384_4745_,134.1286399,49.61531578,38.51924131,0,0
Ga0401699_0029907_126_4721_Thrombospondin type 1 repeats,66.21540452,18.33609496,20.60331512,2.145908931,0.859917978
Ga0401699_0029986_80_4693_carbamoylphosphate synthase,36.50336403,22.65047025,26.87388929,0,0
Ga0401699_0030066_123_2381_chlorophyll binding,573.0179238,542.5326921,1052.560664,476.3917826,403.3015315
Ga0401699_0030066_2418_4622_chlorophyll binding,474.5437324,467.0311246,985.3759405,424.1746653,368.0448944
Ga0401699_0030330_1_4620_pyruvate dehydrogenase acetyl-transferring kinase activity,6.791323541,14.02171968,26.87388929,0,3.43967191
Ga0401699_0030521_78_2585_DNA topoisomerase 2,11.8848162,6.471562927,19.70751881,0,0
Ga0401699_0030574_439_4005_receptor-like protein,27.16529416,21.57187642,48.37300071,0,0
Ga0401699_0030590_38_4600_Belongs to the cation transport ATPase P-type TC 3.A.3 family,71.30889718,71.1871922,51.95618595,5.007120838,6.879343821
Ga0401699_0030644_445_1470_Cobalamin synthesis protein cobW C-terminal domain,46.69034934,40.98656521,34.04025976,4.291817861,6.879343821
Ga0401699_0030661_39_4508_Zinc-dependent metalloprotease,229.2071695,149.9245412,122.7240944,1.430605954,4.299589888
Ga0401699_0030723_1_4686_G8,27.16529416,33.43640846,20.60331512,0,2.579753933
Ga0401699_0030736_63_4685_negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment,57.7262501,45.30094049,29.56127821,5.722423815,1.719835955
Ga0401699_0030853_2_2440_detection of mechanical stimulus,20.37397062,10.78593821,18.8117225,0,0
Ga0401699_0031021_144_1664_Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,760.6282366,682.7498888,266.9473002,937.0468997,964.8279708
Ga0401699_0031021_2875_3123_F1F0 ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains_ F1 containing the extramembraneous catalytic core and F0 containing the membrane proton channel_ linked together by a central stalk and a peripheral stalk. During catalysis_ ATP synthesis in the catalytic domain of F1 is coupled via a rotary mechanism of the central stalk subunits to proton translocation,244.4876475,458.402374,114.6619276,410.5839087,399.0019416
Ga0401699_0031021_3287_4036_it plays a direct role in the translocation of protons across the membrane,201.1929599,224.3475148,96.74600143,328.3240664,306.1308
Ga0401699_0031119_1670_2215_proton-transporting ATP synthase activity_ rotational mechanism,23.76963239,23.72906407,20.60331512,131.6157477,64.49384832
Ga0401699_0031175_3_4286_Short calmodulin-binding motif containing conserved Ile and Gln residues.,12.73373164,12.94312585,23.29070405,0,0
Ga0401699_0031224_407_4654_negative regulation of phosphatase activity,22.92071695,26.96484553,42.99822286,5.722423815,0
Ga0401699_0031231_86_814_it plays a direct role in the translocation of protons across the membrane,195.2505518,186.5967311,134.3694464,579.3954113,786.8249495
Ga0401699_0031231_880_1128_F1F0 ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains_ F1 containing the extramembraneous catalytic core and F0 containing the membrane proton channel_ linked together by a central stalk and a peripheral stalk. During catalysis_ ATP synthesis in the catalytic domain of F1 is coupled via a rotary mechanism of the central stalk subunits to proton translocation,39.8990258,26.96484553,10.74955571,75.82211555,87.71163371
Ga0401699_0031448_24_4577_Ion transport protein,29.71204049,9.707344391,23.29070405,0,0
Ga0401699_0031682_4_4623_Ca2 -binding protein EF-Hand superfamily,0,0,217.6785032,0,0
Ga0401699_0031737_2_4621_dynein light chain binding,44.14360302,17.25750114,10.74955571,0,0
Ga0401699_0031819_130_4464_ATPase activity_ coupled to transmembrane movement of substances,21.22288607,12.94312585,23.29070405,0,0
Ga0401699_0032153_988_1641_Belongs to the universal ribosomal protein uS2 family,29.71204049,67.95141074,49.26879702,10.72954465,5.159507865
Ga0401699_0032296_1770_2963_quinone binding,11.8848162,81.97313041,97.64179774,5.722423815,1.719835955
Ga0401699_0032296_3071_3430_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,5.093492656,28.04343935,27.76968559,0,0.859917978
Ga0401699_0032296_696_1502_Subunits I_ II and III form the functional core of the enzyme complex,6.791323541,22.65047025,36.72764869,1.430605954,0
Ga0401699_0032374_15_4583_Transmembrane protein. Source PGD,19.52505518,8.62875057,11.64535202,0,0
Ga0401699_0032606_3_4427_Ccr4-not transcription complex,9.338069869,10.78593821,14.33274095,0,0
Ga0401699_0032682_295_4566_negative regulation of phosphatase activity,54.33058833,40.98656521,59.12255643,2.861211908,4.299589888
Ga0401699_0032957_73_4551_Voltage-gated Ion Channel VIC Superfamily. Source PGD,22.92071695,16.17890732,22.39490774,0,0
Ga0401699_0033501_408_2198_Domain of unknown function DUF305,3249.648314,1759.186522,720.2202328,18.5978774,25.79753933
Ga0401699_0033893_1_4500_,0,0,148.7021874,0,0
Ga0401699_0033981_1179_2669_Cytochrome C and Quinol oxidase polypeptide I,467.7524089,563.0259747,447.0023584,2.861211908,5.159507865
Ga0401699_0033981_2857_4353_ATP synthesis coupled electron transport,104.4165994,138.0600091,107.4955571,2.861211908,0
Ga0401699_0033981_75_860_Cytochrome C oxidase subunit II_ periplasmic domain,206.2864526,246.9979851,202.4499659,2.861211908,0.859917978
Ga0401699_0034640_1722_4427_peptide-aspartate beta-dioxygenase activity,43.29468757,47.45812813,43.89401917,5.722423815,2.579753933
Ga0401699_0035227_3_4199_,6.791323541,6.471562927,20.60331512,0.715302977,0.859917978
Ga0401699_0035404_1_4350_Titin isoform N2-B. Source PGD,10.18698531,11.86453203,11.64535202,0,0
Ga0401699_0035809_933_4388_Polycystic kidney and hepatic disease 1 autosomal,74.70455895,44.22234667,39.41503762,2.861211908,0
Ga0401699_0035973_1554_2984_Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO2_ with concomitant reduction of NADP to NADPH,140.9199635,70.10859838,103.9123719,34.33454289,27.51737528
Ga0401699_0036288_1_4347_negative regulation of SNARE complex assembly,6.791323541,5.392969106,12.54114833,0,0
Ga0401699_0036336_1_4362_extracellular matrix structural constituent,55.17950377,56.0868787,92.26701988,6.437726792,4.299589888
Ga0401699_0036415_2_3973_Extracellular nuclease,9.338069869,6.471562927,16.12433357,0,0
Ga0401699_0036526_2190_3686_ATP synthesis coupled electron transport,139.2221326,152.0817288,148.7021874,12.87545358,13.75868764
Ga0401699_0036526_573_1811_Belongs to the complex I 49 kDa subunit family,151.1069488,148.8459473,137.0568354,5.007120838,17.19835955
Ga0401699_0036539_3_4301_,265.7105335,126.1954771,327.8614493,30.04272503,38.69630899
Ga0401699_0036769_188_2842_,162.1428495,107.8593821,85.99644571,5.722423815,1.719835955
Ga0401699_0037272_69_4313_dynein heavy chain. Source PGD,16.97830885,8.62875057,14.33274095,0,0
Ga0401699_0037772_131_3232_,33.10770226,22.65047025,22.39490774,0.715302977,0
Ga0401699_0037906_115_3825_,3.39566177,5.392969106,17.91592619,0,0
Ga0401699_0037921_75_4283_Source PGD,3.39566177,7.550156749,14.33274095,0,0
Ga0401699_0037964_795_2864_75 kDa subunit,36.50336403,18.33609496,34.04025976,0,0
Ga0401699_0038074_173_697_Belongs to the protein disulfide isomerase family,43.29468757,37.75078374,35.83185238,5.007120838,0.859917978
Ga0401699_0038116_170_3919_,124.7905701,99.23063155,58.22676012,462.0857231,687.9343821
Ga0401699_0038271_28_3177_COG2931_ RTX toxins and related Ca2 -binding proteins,22.92071695,14.02171968,9.853759405,0,0
Ga0401699_0038337_3_3731_protein localization to nuclear inner membrane,3.39566177,3.235781464,14.33274095,0,0
Ga0401699_0038471_1_4254_Endonuclease Exonuclease Phosphatase,359.9401477,84.13031806,133.4736501,2.145908931,0.859917978
Ga0401699_0038712_26_4243_negative regulation of phosphatase activity,22.07180151,20.4932826,25.08229667,1.430605954,5.159507865
Ga0401699_0038717_3_4232_Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,30.56095593,12.94312585,11.64535202,0,0
Ga0401699_0038718_69_4244_Regulator of chromosome condensation RCC1 repeat,21.22288607,19.41468878,36.72764869,2.145908931,1.719835955
Ga0401699_0038885_218_775_Photosystem I reaction centre subunit III,58.57516554,104.6236007,73.45529738,247.49483,299.2514562
Ga0401699_0038885_3567_4025_Photosystem I reaction centre subunit XI,36.50336403,90.60188098,16.12433357,153.0748371,202.0807247
Ga0401699_0039237_11_4219_dynein light chain binding,15.28047797,14.02171968,19.70751881,0,0
Ga0401699_0039345_22_4215_dynein light chain binding,10.18698531,17.25750114,18.8117225,0,0
Ga0401699_0039407_1_4176_cytoskeletal protein binding,62.81974275,32.35781464,64.49733428,0,0
Ga0401699_0039448_621_2825_chlorophyll binding,192.7038055,135.9028215,240.0734109,945.6305355,595.9231585
Ga0401699_0039724_338_4099_Belongs to the CDC6 cdc18 family,9.338069869,11.86453203,11.64535202,0,0
Ga0401699_0039796_3_4193_Ankyrin repeats many copies,50.93492656,186.5967311,65.39313059,0,0
Ga0401699_0039816_3521_3970_Belongs to the OprB family,522.0829972,405.5512768,317.1118936,50.07120838,55.03475057
Ga0401699_0040310_111_3614_regulation of canonical Wnt signaling pathway involved in osteoblast differentiation,21.22288607,9.707344391,34.04025976,2.861211908,2.579753933
Ga0401699_0040367_576_4169_,211.3799452,240.5264221,200.6583733,20.74378633,30.95704719
Ga0401699_0040529_30_4160_Domain of unknown function DUF4339,11.8848162,8.62875057,12.54114833,0,0
Ga0401699_0040534_31_4161_,197.7972981,52.85109724,114.6619276,0,0
Ga0401699_0040904_71_4027_patched ligand maturation,33.9566177,19.41468878,21.49911143,0,0
Ga0401699_0041092_446_4138_dynein light chain binding,5.942408098,11.86453203,14.33274095,0,0
Ga0401699_0041344_2_4090_,60.27299643,25.88625171,32.24866714,0,4.299589888
Ga0401699_0041367_84_2567_Structural maintenance of chromosomes protein,5.093492656,8.62875057,17.02012988,0,0
Ga0401699_0041525_136_4098_e3 ubiquitin-protein ligase,9.338069869,16.17890732,26.87388929,0,0.859917978
Ga0401699_0041566_969_1868_Cytochrome C oxidase subunit II_ periplasmic domain,15.28047797,72.26578602,106.5997608,0,0
Ga0401699_0041628_412_4113_protein N-acetylglucosaminyltransferase activity,11.03590075,8.62875057,8.957963095,0,0
Ga0401699_0041791_25_3918_Thrombospondin type 1 repeats,45.8414339,35.5935961,41.20663024,1.430605954,0
Ga0401699_0041844_1037_4105_,39.8990258,31.27922082,59.12255643,5.722423815,8.599179776
Ga0401699_0042189_355_4092_negative regulation of phosphatase activity,28.86312505,22.65047025,17.91592619,0.715302977,1.719835955
Ga0401699_0042274_57_4088_Fatty acid synthase subunit alpha. Source PGD,24.61854784,10.78593821,13.43694464,0,0
Ga0401699_0042363_3308_3946_High-affinity nitrate transporter accessory,6.791323541,15.1003135,24.18650036,150.9289281,137.5868764
Ga0401699_0042458_236_4009_branching involved in salivary gland morphogenesis,24.61854784,20.4932826,28.6654819,0,0
Ga0401699_0042667_2773_3714_photosynthesis,32.25878682,28.04343935,21.49911143,80.82923639,95.45089551
Ga0401699_0042686_245_3445_Thrombospondin type 1 repeats,106.9633458,39.90797139,71.66370476,0,0
Ga0401699_0042914_27_833_One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome_ for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity,47.53926479,36.67218992,22.39490774,0,0.859917978
Ga0401699_0042926_228_4061_negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment,33.9566177,18.33609496,25.08229667,5.007120838,1.719835955
Ga0401699_0043012_1145_1828_Ribosomal protein S2,9.338069869,4.314375285,0,39.34166373,66.21368427
Ga0401699_0043012_2397_3107_Binds directly to 23S rRNA. Might be involved in E site tRNA release,15.28047797,6.471562927,17.02012988,79.39863044,124.6881067
Ga0401699_0043012_3143_3547_rRNA binding,10.18698531,0,6.270574167,59.37014708,96.31081349
Ga0401699_0043303_165_4046_dynein light chain binding,21.22288607,24.80765789,23.29070405,1.430605954,1.719835955
Ga0401699_0043457_32_4039_,31.40987138,25.88625171,20.60331512,0,0
Ga0401699_0043563_59_4036_coreceptor activity involved in Wnt signaling pathway_ planar cell polarity pathway,29.71204049,19.41468878,10.74955571,0,0
Ga0401699_0043813_1651_2277_Flavodoxin,460.9610853,246.9979851,115.5577239,2.145908931,0.859917978
Ga0401699_0043905_2_4021_Head domain of trimeric autotransporter adhesin,100.1720222,29.12203317,76.14268631,0,0
Ga0401699_0044023_182_2341_chromosome condensation,5.942408098,2.157187642,13.43694464,0,0
Ga0401699_0044122_88_3978_Thrombospondin type 1 repeats,57.7262501,30.20062699,36.72764869,0.715302977,0
Ga0401699_0044218_2318_3595_cytochrome complex assembly,14.43156252,23.72906407,26.87388929,135.9075656,153.925318
Ga0401699_0044218_808_2298_ATP binding,27.16529416,30.20062699,31.35287083,163.8043817,213.2596584
Ga0401699_0044294_502_3924_regulation of choline O-acetyltransferase activity,28.86312505,11.86453203,16.12433357,0,0
